kind,fs,block,update_ms,full,mean_ns_frame,cpu_ns_frame,p99_us_block,max_us_block,state_bytes,checksum
chain,48000,128,0.000,1,147.738,147.837,31.208,46.583,164272,-229.159671016
comparison,48000,128,0.000,1,283.853,283.875,49.542,54.750,330216,-114.851892088
chain,48000,128,5.000,1,266.396,266.488,48.167,55.834,164272,-171.402995966
comparison,48000,128,5.000,1,429.585,429.156,72.583,109.208,330216,-85.904989006
chain,48000,512,0.000,1,139.629,139.431,92.209,104.083,164272,7.868914862
comparison,48000,512,0.000,1,283.313,283.369,167.083,175.041,330216,3.943799448
chain,48000,512,5.000,1,253.972,253.960,161.917,166.250,164272,12.650020780
comparison,48000,512,5.000,1,409.433,409.281,252.500,297.833,330216,6.340028566
chain,96000,128,0.000,1,134.641,134.662,26.250,43.416,164272,-181.247487694
comparison,96000,128,0.000,1,285.155,285.180,49.666,73.792,330216,-90.838921823
chain,96000,128,5.000,1,263.261,263.162,47.625,91.500,164272,-128.994138394
comparison,96000,128,5.000,1,416.786,416.822,70.291,88.291,330216,-64.650211694
chain,96000,512,0.000,1,136.155,136.168,86.375,93.375,164272,44.194506757
comparison,96000,512,0.000,1,283.431,283.450,168.917,173.083,330216,22.149721559
chain,96000,512,5.000,1,265.712,265.400,163.459,190.000,164272,42.477214828
comparison,96000,512,5.000,1,418.633,418.463,242.166,281.625,330216,21.289036591
chain,192000,128,0.000,1,134.998,135.093,27.958,53.792,164272,-219.686477698
comparison,192000,128,0.000,1,283.671,283.660,49.792,79.291,330216,-110.104053363
chain,192000,128,5.000,1,261.548,261.471,47.917,96.083,164272,-185.950870834
comparison,192000,128,5.000,1,419.155,418.841,71.125,106.833,330216,-93.196197268
chain,192000,512,0.000,1,135.818,134.750,107.709,164.792,164272,-58.660014607
comparison,192000,512,0.000,1,284.929,284.725,171.625,200.042,330216,-29.399648074
chain,192000,512,5.000,1,259.529,259.450,160.959,167.000,164272,-44.256709140
comparison,192000,512,5.000,1,417.477,417.159,245.583,262.417,330216,-22.180893807
chain,384000,128,0.000,1,123.609,123.578,23.416,63.541,164272,-91.778393216
comparison,384000,128,0.000,1,263.281,262.972,46.958,78.208,330216,-45.998146769
chain,384000,128,5.000,1,247.765,247.535,45.416,78.584,164272,-84.669544850
comparison,384000,128,5.000,1,384.609,384.625,63.041,92.083,330216,-42.435281737
chain,384000,512,0.000,1,135.406,135.253,87.416,107.084,164272,-45.700388439
comparison,384000,512,0.000,1,283.622,283.521,166.375,178.875,330216,-22.904449958
chain,384000,512,5.000,1,262.159,261.961,157.792,183.834,164272,-32.888988879
comparison,384000,512,5.000,1,410.054,409.982,240.167,272.834,330216,-16.483540446
chain,768000,128,0.000,1,121.635,121.659,24.750,41.375,164272,-36.439312443
comparison,768000,128,0.000,1,260.285,260.086,43.500,78.292,330216,-18.262914988
chain,768000,128,5.000,1,245.575,245.284,44.375,74.625,164272,-35.452108016
comparison,768000,128,5.000,1,379.359,379.209,62.125,88.958,330216,-17.768140822
chain,768000,512,0.000,1,133.790,133.766,86.709,129.500,164272,-55.143575177
comparison,768000,512,0.000,1,282.598,282.554,168.125,182.209,330216,-27.637254328
chain,768000,512,5.000,1,255.203,255.215,151.625,169.250,164272,-46.642483167
comparison,768000,512,5.000,1,425.969,424.855,260.583,274.500,330216,-23.376615793
