in,out,block,cpu_ns_frame,p99_us_block,prepare_ms,prepare_bytes,render_bytes,checksum
48000.000,48000.000,128,1.953,0.042,0.000,0,0,4800.000000000
48000.000,48000.000,512,2.039,0.166,0.000,0,0,4864.000000000
44100.000,48000.000,128,158.711,27.583,1.294,339240,0,4800.000000000
44100.000,48000.000,512,126.281,68.709,1.211,339240,0,4864.000000000
48000.000,96000.000,128,125.226,19.667,0.031,14392,0,9600.000000000
48000.000,96000.000,512,124.861,76.208,0.032,14392,0,9728.000000000
48000.000,384000.000,128,118.077,20.125,0.093,26728,0,38400.000000000
48000.000,384000.000,512,121.263,74.166,0.079,26728,0,38400.000000000
192000.000,384000.000,128,121.621,21.042,0.030,14392,0,38400.000000000
192000.000,384000.000,512,120.579,76.917,0.030,14392,0,38400.000000000
384000.000,48000.000,128,1175.469,169.708,0.127,98352,0,4800.000000000
384000.000,48000.000,512,1193.098,646.000,0.137,98352,0,4864.000000000
96000.000,44100.000,128,263.403,60.500,2.281,679744,0,4416.000000000
96000.000,44100.000,512,271.905,152.125,2.336,679744,0,4608.000000000
48000.000,768000.000,128,118.210,25.709,0.148,43176,0,76800.000000000
48000.000,768000.000,512,121.127,78.042,0.144,43176,0,76800.000000000
768000.000,48000.000,128,2467.847,355.084,0.243,196656,0,4800.000000000
768000.000,48000.000,512,2470.360,1292.708,0.245,196656,0,4864.000000000
44100.000,768000.000,128,126.077,21.875,18.986,5273640,0,76800.000000000
44100.000,768000.000,512,128.811,80.292,18.824,5273640,0,76800.000000000
